method,energy_rmse,energy_mae,force_rmse,force_mae,total_rmse,energy_nll,energy_ece,force_ece,energy_rmse_std,energy_mae_std,force_rmse_std,force_mae_std,total_rmse_std,energy_nll_std,energy_ece_std,force_ece_std
DE,0.009132,0.006162,0.226950,0.160796,0.030914,-3.225394,0.039448,0.237232,0.000593,0.000328,0.002794,0.001500,0.000747,0.134635,0.014006,0.004014
lrt,0.048794,0.020839,0.525838,0.326865,0.096499,-2.044536,0.062797,0.464295,0.003830,0.001731,0.017814,0.011191,0.004557,0.150129,0.039430,0.001902
rad,0.044860,0.018210,0.363609,0.248364,0.076735,-0.487030,0.026166,0.411885,0.002767,0.001742,0.007028,0.005269,0.002716,0.707582,0.023690,0.001914
