method,energy_rmse,energy_mae,force_rmse,force_mae,total_rmse,energy_nll,energy_ece,force_ece,energy_rmse_std,energy_mae_std,force_rmse_std,force_mae_std,total_rmse_std,energy_nll_std,energy_ece_std,force_ece_std
DE,0.297677,0.036655,3.617259,0.387339,0.629635,-2.213266,0.179531,0.109383,0.013087,0.004385,0.131613,0.009823,0.016329,0.184269,0.034806,0.019377
lrt,0.276571,0.058044,2.340326,0.422519,0.482947,-0.033598,0.242833,0.382557,0.010453,0.002579,0.151613,0.012382,0.017059,0.729961,0.021596,0.002410
rad,0.438753,0.073971,2.254246,0.477570,0.620302,60288.500874,0.463635,0.487213,0.036156,0.004606,0.091285,0.012046,0.041251,32604.976749,0.005182,0.001069
lrt_hetero,0.587334,0.099882,2.294354,0.403676,0.758036,-0.443446,0.372747,0.281413,0.035738,0.012632,0.033812,0.001915,0.034555,0.105277,0.009138,0.001045
rad_hetero,0.370627,0.059814,1.451532,0.298914,0.478717,-0.991796,0.327004,0.205688,0.035521,0.003740,0.168206,0.007249,0.046632,0.008305,0.006819,0.004492
