model,time_seconds,time_minutes,time_hours,relative_to_fastest
LRT RMSE,197,3.283333333333333,0.05472222222222222,1.1067415730337078
LRT ELBO,192,3.2,0.05333333333333334,1.0786516853932584
RAD RMSE,199,3.316666666666667,0.05527777777777778,1.1179775280898876
RAD ELBO,178,2.966666666666667,0.049444444444444444,1.0
