,,mae,mae,rmse,rmse,overlap,overlap,nll,nll
,,mean,std,mean,std,mean,std,mean,std
Method,Size,,,,,,,,
de,high,0.0051,0.0002,0.0121,0.001,44.7179,3.9789,-4.6453,0.0401
de,low,0.0231,0.001,0.0825,0.0116,58.6667,3.9822,-3.6703,0.0404
fo,high,0.0166,0.0026,0.0282,0.0047,45.2308,4.9905,1.9019,0.0017
fo,low,0.0309,0.0033,0.0748,0.0049,51.7949,5.3907,1.9049,0.0013
lrt,high,0.0143,0.0032,0.0293,0.0108,43.3846,4.9001,1.8991,0.0001
lrt,low,0.0326,0.0029,0.0754,0.0111,50.8718,3.8273,1.906,0.0017
rad,high,0.0189,0.0012,0.0408,0.0049,44.4103,1.8702,1.8978,0.0001
rad,low,0.0456,0.0058,0.0958,0.007,45.9487,1.3856,1.904,0.0014
